sku_code,category,material_name,specification,unit,reference_price,aliases
FST-001,紧固件,不锈钢内六角圆柱头螺钉,304 M4×12,个,0.18,304内六角螺丝 M4*12
FST-002,紧固件,不锈钢内六角圆柱头螺钉,304 M5×12,个,0.23,304内六角螺丝 M5*12
FST-003,紧固件,不锈钢内六角圆柱头螺钉,304 M6×12,个,0.28,304内六角螺丝 M6*12
FST-004,紧固件,不锈钢内六角圆柱头螺钉,304 M8×12,个,0.33,304内六角螺丝 M8*12
FST-005,紧固件,不锈钢内六角圆柱头螺钉,304 M10×12,个,0.38,304内六角螺丝 M10*12
FST-006,紧固件,不锈钢内六角圆柱头螺钉,304 M4×16,个,0.43,304内六角螺丝 M4*16
FST-007,紧固件,不锈钢内六角圆柱头螺钉,304 M5×16,个,0.48,304内六角螺丝 M5*16
FST-008,紧固件,不锈钢内六角圆柱头螺钉,304 M6×16,个,0.53,304内六角螺丝 M6*16
FST-009,紧固件,不锈钢内六角圆柱头螺钉,304 M8×16,个,0.58,304内六角螺丝 M8*16
FST-010,紧固件,不锈钢内六角圆柱头螺钉,304 M10×16,个,0.63,304内六角螺丝 M10*16
FST-011,紧固件,不锈钢内六角圆柱头螺钉,304 M4×20,个,0.68,304内六角螺丝 M4*20
FST-012,紧固件,不锈钢内六角圆柱头螺钉,304 M5×20,个,0.73,304内六角螺丝 M5*20
FST-013,紧固件,不锈钢内六角圆柱头螺钉,304 M6×20,个,0.78,304内六角螺丝 M6*20
FST-014,紧固件,不锈钢内六角圆柱头螺钉,304 M8×20,个,0.83,304内六角螺丝 M8*20
FST-015,紧固件,不锈钢内六角圆柱头螺钉,304 M10×20,个,0.88,304内六角螺丝 M10*20
FST-016,紧固件,不锈钢内六角圆柱头螺钉,304 M4×25,个,0.93,304内六角螺丝 M4*25
FST-017,紧固件,不锈钢内六角圆柱头螺钉,304 M5×25,个,0.98,304内六角螺丝 M5*25
FST-018,紧固件,不锈钢内六角圆柱头螺钉,304 M6×25,个,1.03,304内六角螺丝 M6*25
FST-019,紧固件,不锈钢内六角圆柱头螺钉,304 M8×25,个,1.08,304内六角螺丝 M8*25
FST-020,紧固件,不锈钢内六角圆柱头螺钉,304 M10×25,个,1.13,304内六角螺丝 M10*25
FST-021,紧固件,不锈钢内六角圆柱头螺钉,304 M4×30,个,1.18,304内六角螺丝 M4*30
FST-022,紧固件,不锈钢内六角圆柱头螺钉,304 M5×30,个,1.23,304内六角螺丝 M5*30
FST-023,紧固件,不锈钢内六角圆柱头螺钉,304 M6×30,个,1.28,304内六角螺丝 M6*30
FST-024,紧固件,不锈钢内六角圆柱头螺钉,304 M8×30,个,1.33,304内六角螺丝 M8*30
FST-025,紧固件,不锈钢内六角圆柱头螺钉,304 M10×30,个,1.38,304内六角螺丝 M10*30
FST-026,紧固件,不锈钢内六角圆柱头螺钉,304 M4×40,个,1.43,304内六角螺丝 M4*40
FST-027,紧固件,不锈钢内六角圆柱头螺钉,304 M5×40,个,1.48,304内六角螺丝 M5*40
FST-028,紧固件,不锈钢内六角圆柱头螺钉,304 M6×40,个,1.53,304内六角螺丝 M6*40
FST-029,紧固件,不锈钢内六角圆柱头螺钉,304 M8×40,个,1.58,304内六角螺丝 M8*40
FST-030,紧固件,不锈钢内六角圆柱头螺钉,304 M10×40,个,1.63,304内六角螺丝 M10*40
FST-031,紧固件,不锈钢内六角圆柱头螺钉,316 M4×12,个,1.68,316内六角螺丝 M4*12
FST-032,紧固件,不锈钢内六角圆柱头螺钉,316 M5×12,个,1.73,316内六角螺丝 M5*12
FST-033,紧固件,不锈钢内六角圆柱头螺钉,316 M6×12,个,1.78,316内六角螺丝 M6*12
FST-034,紧固件,不锈钢内六角圆柱头螺钉,316 M8×12,个,1.83,316内六角螺丝 M8*12
FST-035,紧固件,不锈钢内六角圆柱头螺钉,316 M10×12,个,1.88,316内六角螺丝 M10*12
FST-036,紧固件,不锈钢内六角圆柱头螺钉,316 M4×16,个,1.93,316内六角螺丝 M4*16
FST-037,紧固件,不锈钢内六角圆柱头螺钉,316 M5×16,个,1.98,316内六角螺丝 M5*16
FST-038,紧固件,不锈钢内六角圆柱头螺钉,316 M6×16,个,2.03,316内六角螺丝 M6*16
FST-039,紧固件,不锈钢内六角圆柱头螺钉,316 M8×16,个,2.08,316内六角螺丝 M8*16
FST-040,紧固件,不锈钢内六角圆柱头螺钉,316 M10×16,个,2.13,316内六角螺丝 M10*16
FST-041,紧固件,不锈钢内六角圆柱头螺钉,316 M4×20,个,2.18,316内六角螺丝 M4*20
FST-042,紧固件,不锈钢内六角圆柱头螺钉,316 M5×20,个,2.23,316内六角螺丝 M5*20
FST-043,紧固件,不锈钢内六角圆柱头螺钉,316 M6×20,个,2.28,316内六角螺丝 M6*20
FST-044,紧固件,不锈钢内六角圆柱头螺钉,316 M8×20,个,2.33,316内六角螺丝 M8*20
FST-045,紧固件,不锈钢内六角圆柱头螺钉,316 M10×20,个,2.38,316内六角螺丝 M10*20
FST-046,紧固件,不锈钢内六角圆柱头螺钉,316 M4×25,个,2.43,316内六角螺丝 M4*25
FST-047,紧固件,不锈钢内六角圆柱头螺钉,316 M5×25,个,2.48,316内六角螺丝 M5*25
FST-048,紧固件,不锈钢内六角圆柱头螺钉,316 M6×25,个,2.53,316内六角螺丝 M6*25
FST-049,紧固件,不锈钢内六角圆柱头螺钉,316 M8×25,个,2.58,316内六角螺丝 M8*25
FST-050,紧固件,不锈钢内六角圆柱头螺钉,316 M10×25,个,2.63,316内六角螺丝 M10*25
FST-051,紧固件,不锈钢内六角圆柱头螺钉,316 M4×30,个,2.68,316内六角螺丝 M4*30
FST-052,紧固件,不锈钢内六角圆柱头螺钉,316 M5×30,个,2.73,316内六角螺丝 M5*30
FST-053,紧固件,不锈钢内六角圆柱头螺钉,316 M6×30,个,2.78,316内六角螺丝 M6*30
FST-054,紧固件,不锈钢内六角圆柱头螺钉,316 M8×30,个,2.83,316内六角螺丝 M8*30
FST-055,紧固件,不锈钢内六角圆柱头螺钉,316 M10×30,个,2.88,316内六角螺丝 M10*30
FST-056,紧固件,不锈钢内六角圆柱头螺钉,316 M4×40,个,2.93,316内六角螺丝 M4*40
FST-057,紧固件,不锈钢内六角圆柱头螺钉,316 M5×40,个,2.98,316内六角螺丝 M5*40
FST-058,紧固件,不锈钢内六角圆柱头螺钉,316 M6×40,个,3.03,316内六角螺丝 M6*40
FST-059,紧固件,不锈钢内六角圆柱头螺钉,316 M8×40,个,3.08,316内六角螺丝 M8*40
FST-060,紧固件,不锈钢内六角圆柱头螺钉,316 M10×40,个,3.13,316内六角螺丝 M10*40
BRG-001,轴承,深沟球轴承,6000-2RS,套,6.80,轴承60002RS
BRG-002,轴承,深沟球轴承,6001-2RS,套,7.53,轴承60012RS
BRG-003,轴承,深沟球轴承,6002-2RS,套,8.26,轴承60022RS
BRG-004,轴承,深沟球轴承,6003-2RS,套,8.99,轴承60032RS
BRG-005,轴承,深沟球轴承,6004-2RS,套,9.72,轴承60042RS
BRG-006,轴承,深沟球轴承,6005-2RS,套,10.45,轴承60052RS
BRG-007,轴承,深沟球轴承,6200-2RS,套,11.18,轴承62002RS
BRG-008,轴承,深沟球轴承,6201-2RS,套,11.91,轴承62012RS
BRG-009,轴承,深沟球轴承,6202-2RS,套,12.64,轴承62022RS
BRG-010,轴承,深沟球轴承,6203-2RS,套,13.37,轴承62032RS
BRG-011,轴承,深沟球轴承,6204-2RS,套,14.10,轴承62042RS
